system:index,vs,.geo
224_0,259.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,289.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,276.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,280.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,304.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,184.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,188.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,305.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,238.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,220.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,189.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,301.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,207.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,286.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,188.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,139.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,267.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,256.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,318.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,263.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,324.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,193.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,303.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,274.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,250.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,268.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,250.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
251_0,323.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,280.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,266.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,234.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,284.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,263.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,153.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,212.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,230.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,241.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,222.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,277.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,218.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,181.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,327.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,187.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,185.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
268_0,277.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,312.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,181.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
