system:index,Npp,.geo
174_0,0.3572,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,0.5801000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,0.388,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,0.42510000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,0.4546,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,0.40790000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,0.27790000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,0.3613,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,0.6129,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,0.3085,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,0.6023000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,0.8066,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,0.306,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,0.2088,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,0.5795,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,0.3806,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,0.11910000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,0.2662,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,0.4072,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,0.3642,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,0.2268,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,0.5564,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,0.2904,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,0.5485,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,0.4022,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,0.5697,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,0.42410000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,0.4146,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,0.40230000000000005,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,0.2494,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,0.4506,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,0.4257,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,0.3821,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,0.6772,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,0.43770000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,0.251,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,0.12940000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,0.2281,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,0.3437,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,0.23750000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,0.38730000000000003,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,0.3411,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,0.2313,"{""type"":""MultiPoint"",""coordinates"":[]}"
