system:index,pr,.geo
255_0,78.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,85.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,106.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,113.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,106.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,69.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,88.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,94.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,98.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,61.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,150.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,158.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
268_0,100.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,58.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,115.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
271_0,82.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,156.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,74.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,67.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,57.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
276_0,79.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,79.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,71.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
279_0,64.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
280_0,111.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
281_0,75.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,81.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,74.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,95.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
285_0,120.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,68.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
287_0,78.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
289_0,51.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
290_0,103.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,82.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
292_0,103.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
293_0,87.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
294_0,74.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
295_0,89.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
296_0,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
297_0,130.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
298_0,104.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
299_0,125.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,99.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,110.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,85.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,105.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
304_0,75.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
305_0,77.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
306_0,95.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
307_0,62.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
308_0,127.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
309_0,74.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,137.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
311_0,71.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
312_0,75.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,57.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,85.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
315_0,59.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,83.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,120.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
318_0,117.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
319_0,98.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
320_0,59.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,59.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
322_0,91.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
323_0,98.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
324_0,62.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
325_0,88.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,62.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
327_0,120.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,79.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
329_0,86.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
330_0,116.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
331_0,64.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,74.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
333_0,57.666666666666664,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,130.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
335_0,106.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
336_0,80.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,173.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
338_0,98.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
339_0,55.333333333333336,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,101.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
341_0,84.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
342_0,96.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
343_0,91.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
344_0,73.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,140.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
346_0,81.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,81.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
348_0,133.33333333333334,"{""type"":""MultiPoint"",""coordinates"":[]}"
349_0,70.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,126.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
351_0,144.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
352_0,180.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
353_0,90.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
354_0,71.66666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
355_0,77.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
356_0,136.66666666666666,"{""type"":""MultiPoint"",""coordinates"":[]}"
357_0,98.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
358_0,92.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
359_0,84.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
360_0,119.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
361_0,107.33333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
