system:index,vap,.geo
164_0,1692.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,1397.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,1644.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,1520.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,1728.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,1583.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,1473.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,1683.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,1634.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,1349.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,1573.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,1724.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,2049.6666666666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,1497.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,1322.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,1886.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,1653.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,1667.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,1469.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,1413.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,1363.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,1437.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,1642.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,1686.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,1623.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,1423.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,1520.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,1685.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,1718.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,1399.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,1577.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,1642.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,1609.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,1683.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,1631.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,1471.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,1158.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,1344.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,1555.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,1742.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,1643.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,1544.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,1547.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,1413.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,1701.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,1374.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,1650.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,1641.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,1576.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,1711.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,1502.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,1944.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,1626.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,1524.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,1715.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,1647.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,1598.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,1822.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,1430.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,1551.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,1411.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,1677.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,1640.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,1554.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,1418.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,1643.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,1928.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,1487.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,1720.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,1327.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,1220.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,1653.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,1576.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,1436.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,1303.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,1799.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,1264.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,1687.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,1604.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,1608.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,1538.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,1783.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,1596.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,1691.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,1786.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,1583.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,1422.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
251_0,1544.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,1508.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,1602.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,1767.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,1448.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,1631.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,1680.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,1645.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,1601.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,1624.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,1879.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,1685.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,1499.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,1169.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,1575.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,1404.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,1761.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
268_0,1355.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,1507.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,1580.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
271_0,1340.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,1584.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,1520.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,1637.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,1467.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
276_0,1670.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,1307.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,1607.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
279_0,1702.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
280_0,1879.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
281_0,1672.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,1777.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
283_0,1657.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
284_0,1958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
285_0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
286_0,1556.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
287_0,1436.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
289_0,1537.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
290_0,1362.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
291_0,1474.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
292_0,1107.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
293_0,1606.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
294_0,1628.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
295_0,1659.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
296_0,1501.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
297_0,1675.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
298_0,1110.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
299_0,1563.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
300_0,1918.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
301_0,1641.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
302_0,1733.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
303_0,1696.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
304_0,1632.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
305_0,1717.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
306_0,1558.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
307_0,1588.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
308_0,1431.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
309_0,1587.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
310_0,1861.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
311_0,1699.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
312_0,1483.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
313_0,1594.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
314_0,1280.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
315_0,1420.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
316_0,1646.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
317_0,1479.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
318_0,1581.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
319_0,1493.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
320_0,1580.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
321_0,1629.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
322_0,1289.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
323_0,1480.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
324_0,1402.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
325_0,1891.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
326_0,1673.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
327_0,1423.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
328_0,1426.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
329_0,1636.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
330_0,1682.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
331_0,1643.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
332_0,1571.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
333_0,1619.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
334_0,1320.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
335_0,1721.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
336_0,1690.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
337_0,1916.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
338_0,1657.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
339_0,1505.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
340_0,1536.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
341_0,1453.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
342_0,1438.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
343_0,1654.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
344_0,1548.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,1658.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
346_0,1350.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,1511.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
348_0,1568.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
349_0,1575.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,1841.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
351_0,2090.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
352_0,1926.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
353_0,1409.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
354_0,1599.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
355_0,1534.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
356_0,1468.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
357_0,1499.6666666666667,"{""type"":""MultiPoint"",""coordinates"":[]}"
358_0,1865.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
359_0,1633.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
360_0,1424.3333333333333,"{""type"":""MultiPoint"",""coordinates"":[]}"
361_0,1658.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
