system:index,rsei,.geo
120_0,0.46932626,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,0.55452776,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,0.7421319,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,0.65364593,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,0.74184304,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,0.4770369,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,0.75296295,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,0.7325943,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,0.23588194,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,0.47480056,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,0.5037854,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,0.5766763,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,0.5303804,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,0.74221104,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,0.76501524,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,0.15720399,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,0.62805414,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,0.563748,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,0.4144277,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,0.47833604,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,0.51900244,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,0.53476584,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,0.39457822,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,0.45966944,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,0.5768112,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,0.674003,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,0.6157793,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,0.76562303,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,0.47058064,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,0.37824702,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,0.5377779,"{""type"":""MultiPoint"",""coordinates"":[]}"
