system:index,elevation,.geo
143_0,151,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,507,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,931,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,823,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,365,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,189,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,320,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,663,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,152,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,444,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,204,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,711,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,141,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,545,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,129,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,322,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,236,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,112,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,237,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,800,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,501,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,155,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,208,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,51,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,641,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,153,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,236,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,240,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,407,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,279,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,313,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,102,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,126,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,785,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,308,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,990,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,636,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,157,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,157,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,453,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,367,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,178,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,180,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,226,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,296,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,209,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,398,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,431,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,402,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,570,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,689,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,364,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,164,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,153,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,251,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,334,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,911,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,219,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,537,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,320,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,140,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,140,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,266,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,301,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,153,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,271,"{""type"":""MultiPoint"",""coordinates"":[]}"
218_0,142,"{""type"":""MultiPoint"",""coordinates"":[]}"
219_0,387,"{""type"":""MultiPoint"",""coordinates"":[]}"
220_0,588,"{""type"":""MultiPoint"",""coordinates"":[]}"
221_0,112,"{""type"":""MultiPoint"",""coordinates"":[]}"
222_0,730,"{""type"":""MultiPoint"",""coordinates"":[]}"
223_0,423,"{""type"":""MultiPoint"",""coordinates"":[]}"
224_0,404,"{""type"":""MultiPoint"",""coordinates"":[]}"
225_0,121,"{""type"":""MultiPoint"",""coordinates"":[]}"
226_0,210,"{""type"":""MultiPoint"",""coordinates"":[]}"
227_0,176,"{""type"":""MultiPoint"",""coordinates"":[]}"
228_0,629,"{""type"":""MultiPoint"",""coordinates"":[]}"
229_0,381,"{""type"":""MultiPoint"",""coordinates"":[]}"
230_0,104,"{""type"":""MultiPoint"",""coordinates"":[]}"
231_0,277,"{""type"":""MultiPoint"",""coordinates"":[]}"
232_0,173,"{""type"":""MultiPoint"",""coordinates"":[]}"
233_0,277,"{""type"":""MultiPoint"",""coordinates"":[]}"
234_0,571,"{""type"":""MultiPoint"",""coordinates"":[]}"
235_0,124,"{""type"":""MultiPoint"",""coordinates"":[]}"
236_0,53,"{""type"":""MultiPoint"",""coordinates"":[]}"
237_0,205,"{""type"":""MultiPoint"",""coordinates"":[]}"
238_0,365,"{""type"":""MultiPoint"",""coordinates"":[]}"
239_0,333,"{""type"":""MultiPoint"",""coordinates"":[]}"
240_0,1387,"{""type"":""MultiPoint"",""coordinates"":[]}"
241_0,174,"{""type"":""MultiPoint"",""coordinates"":[]}"
242_0,142,"{""type"":""MultiPoint"",""coordinates"":[]}"
243_0,198,"{""type"":""MultiPoint"",""coordinates"":[]}"
244_0,155,"{""type"":""MultiPoint"",""coordinates"":[]}"
245_0,262,"{""type"":""MultiPoint"",""coordinates"":[]}"
246_0,134,"{""type"":""MultiPoint"",""coordinates"":[]}"
247_0,114,"{""type"":""MultiPoint"",""coordinates"":[]}"
248_0,143,"{""type"":""MultiPoint"",""coordinates"":[]}"
249_0,289,"{""type"":""MultiPoint"",""coordinates"":[]}"
250_0,378,"{""type"":""MultiPoint"",""coordinates"":[]}"
251_0,158,"{""type"":""MultiPoint"",""coordinates"":[]}"
252_0,377,"{""type"":""MultiPoint"",""coordinates"":[]}"
253_0,288,"{""type"":""MultiPoint"",""coordinates"":[]}"
254_0,165,"{""type"":""MultiPoint"",""coordinates"":[]}"
255_0,325,"{""type"":""MultiPoint"",""coordinates"":[]}"
256_0,203,"{""type"":""MultiPoint"",""coordinates"":[]}"
257_0,186,"{""type"":""MultiPoint"",""coordinates"":[]}"
258_0,272,"{""type"":""MultiPoint"",""coordinates"":[]}"
259_0,274,"{""type"":""MultiPoint"",""coordinates"":[]}"
260_0,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
261_0,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
262_0,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
263_0,367,"{""type"":""MultiPoint"",""coordinates"":[]}"
264_0,664,"{""type"":""MultiPoint"",""coordinates"":[]}"
265_0,147,"{""type"":""MultiPoint"",""coordinates"":[]}"
266_0,813,"{""type"":""MultiPoint"",""coordinates"":[]}"
267_0,280,"{""type"":""MultiPoint"",""coordinates"":[]}"
268_0,551,"{""type"":""MultiPoint"",""coordinates"":[]}"
269_0,150,"{""type"":""MultiPoint"",""coordinates"":[]}"
270_0,428,"{""type"":""MultiPoint"",""coordinates"":[]}"
271_0,474,"{""type"":""MultiPoint"",""coordinates"":[]}"
272_0,602,"{""type"":""MultiPoint"",""coordinates"":[]}"
273_0,283,"{""type"":""MultiPoint"",""coordinates"":[]}"
274_0,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
275_0,235,"{""type"":""MultiPoint"",""coordinates"":[]}"
276_0,123,"{""type"":""MultiPoint"",""coordinates"":[]}"
277_0,436,"{""type"":""MultiPoint"",""coordinates"":[]}"
278_0,54,"{""type"":""MultiPoint"",""coordinates"":[]}"
279_0,159,"{""type"":""MultiPoint"",""coordinates"":[]}"
280_0,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
281_0,107,"{""type"":""MultiPoint"",""coordinates"":[]}"
282_0,133,"{""type"":""MultiPoint"",""coordinates"":[]}"
